,champion,counter,be_counter,combine_with
53,malzahar,"Aatrox,Annie,Karthus,Lissandra,Morgana,Nocturne,Swain,Yorick,Kled","Heimerdinger,LeBlanc,Malphite,Pantheon,Ryze,Tryndamere,Illaoi,Zoe","LeBlanc,Lissandra,Vladimir,Yasuo,Zed"
54,qiyana,"Ahri,Jayce,LeBlanc,Lissandra,Mordekaiser,Poppy,Sylas","Ryze,Ziggs,Taliyah","Ahri,Talon,Twisted Fate,Yasuo,Zed"
55,kogmaw,"Ashe,Draven,Jinx,Miss Fortune,Neeko","Kalista,Lucian,Tristana,Varus,Kai'Sa","Ezreal,Vayne,Kai'Sa"
56,kassadin,"Aatrox,Nocturne,Pantheon,Talon,Zed,Kled","Akali,Aurelion Sol,Azir,Corki,LeBlanc,Ryze,Viktor,Zoe","Ahri,Fizz,LeBlanc,Sylas"
57,leblanc,"Aurelion Sol,Malzahar,Morgana,Nocturne,Pantheon,Twisted Fate","Akali,Azir,Brand,Irelia,Karma,Ryze","Ahri,Kassadin,Lissandra,Yasuo,Zed,Zoe"
58,soraka,"Bard,Blitzcrank,Nami,Sona","Alistar,Galio,Gragas,Poppy,Shen,TahmKench,Veigar,Rakan","Blitzcrank,Morgana,Nami,Thresh"
59,nasus,"Kayle,Olaf,Riven,Teemo,Urgot,Warwick,Kled","Cho'Gath,Dr. Mundo,Jayce,Malphite,Wukong,Tryndamere,Vladimir","Kayle,Riven,Urgot,Vladimir"
60,draven,"Ashe,Jinx,Kog'Maw,Miss Fortune,Yasuo,Braum","Kalista,Lucian,Xayah,Kai'Sa","Ezreal,Lucian,Vayne,Kai'Sa"
61,sivir,"Draven,Jinx,Kog'Maw,Twitch,Vayne,Neeko","Ezreal,Kalista,Tristana,Varus,Kai'Sa","Ezreal,Lucian,Vayne,Kai'Sa"
62,tristana,"Ashe,Jinx,Kog'Maw,Sivir,Twitch,Neeko","Kalista,Varus,Jhin","Ezreal,Lucian,Vayne,Kai'Sa"
63,khazix,"Pantheon,Rammus,Sejuani,Udyr,Urgot,Vi,Warwick","Aatrox,Amumu,Gragas,Olaf,Rengar","Jarvan IV,LeeSin,Rek'Sai,Xin Zhao"
